# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163902|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33900|no
1787163902|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|65200|no
1787163903|level=2 held=yes cfb=0 prime|3801600|3801600|2745600|3801600|66800|no
1787163903|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|66800|no
1787163904|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|72600|no
1787163905|level=2 held=yes cfb=0 prime|3801600|3801600|1785600|3801600|79900|no
1787163905|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|87200|no
1787163906|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|69500|no
1787163906|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|74900|no
1787163907|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|75700|no
1787163908|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|87200|no
1787163908|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|73700|no
1787163909|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|76400|no
1787163909|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|83400|no
1787163910|level=2 held=yes cfb=0 prime|3801600|3801600|2400000|3801600|75700|no
1787163911|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|43600|no
1787163911|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|40100|no
1787163912|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|38600|no
1787163912|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|38200|no
1787163913|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|37400|no
1787163913|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|36600|no
1787163914|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|36300|no
1787163915|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|35900|no
1787163915|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|61000|no
1787163916|level=2 held=yes cfb=0 prime|3801600|3801600|1152000|3801600|67900|no
1787163916|level=2 held=yes cfb=0 prime|3801600|3801600|1555200|3801600|72200|no
